timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1608485933193,181,Get issue-1,200,OK,jp@gc - Ultimate Thread Group 1-47,text,true,,26853,301,50,50,http://localhost/mantisbt-2.24.2/view.php?id=1,180,0,0
1608485930154,3296,Get issue,200,OK,jp@gc - Ultimate Thread Group 1-40,text,true,,27513,703,50,50,http://localhost/mantisbt-2.24.2/view.php?id=1,2924,0,1
1608485930421,3029,Get issue,200,OK,jp@gc - Ultimate Thread Group 1-42,text,true,,27513,703,50,50,http://localhost/mantisbt-2.24.2/view.php?id=1,2833,0,0
1608485930154,2924,Get issue-0,302,Found,jp@gc - Ultimate Thread Group 1-40,text,true,,660,402,50,50,http://localhost/mantisbt-2.24.2/jump_to_bug.php,2924,0,1
1608485930421,2833,Get issue-0,302,Found,jp@gc - Ultimate Thread Group 1-42,text,true,,660,402,50,50,http://localhost/mantisbt-2.24.2/jump_to_bug.php,2833,0,0
1608485933078,372,Get issue-1,200,OK,jp@gc - Ultimate Thread Group 1-40,text,true,,26853,301,50,50,http://localhost/mantisbt-2.24.2/view.php?id=1,371,0,0
1608485933254,196,Get issue-1,200,OK,jp@gc - Ultimate Thread Group 1-42,text,true,,26853,301,50,50,http://localhost/mantisbt-2.24.2/view.php?id=1,195,0,0
1608485930391,3114,Get issue,200,OK,jp@gc - Ultimate Thread Group 1-6,text,true,,27513,703,50,50,http://localhost/mantisbt-2.24.2/view.php?id=1,2880,0,1
1608485930391,2880,Get issue-0,302,Found,jp@gc - Ultimate Thread Group 1-6,text,true,,660,402,50,50,http://localhost/mantisbt-2.24.2/jump_to_bug.php,2880,0,1
1608485933271,234,Get issue-1,200,OK,jp@gc - Ultimate Thread Group 1-6,text,true,,26853,301,50,50,http://localhost/mantisbt-2.24.2/view.php?id=1,233,0,0
1608485930455,3100,Get issue,200,OK,jp@gc - Ultimate Thread Group 1-24,text,true,,27513,703,50,50,http://localhost/mantisbt-2.24.2/view.php?id=1,2865,0,0
1608485930455,2865,Get issue-0,302,Found,jp@gc - Ultimate Thread Group 1-24,text,true,,660,402,50,50,http://localhost/mantisbt-2.24.2/jump_to_bug.php,2865,0,0
1608485933320,235,Get issue-1,200,OK,jp@gc - Ultimate Thread Group 1-24,text,true,,26853,301,50,50,http://localhost/mantisbt-2.24.2/view.php?id=1,234,0,0
1608485930686,3083,Get issue,200,OK,jp@gc - Ultimate Thread Group 1-34,text,true,,27513,703,50,50,http://localhost/mantisbt-2.24.2/view.php?id=1,2842,0,1
1608485930686,2842,Get issue-0,302,Found,jp@gc - Ultimate Thread Group 1-34,text,true,,660,402,50,50,http://localhost/mantisbt-2.24.2/jump_to_bug.php,2842,0,1
1608485933528,241,Get issue-1,200,OK,jp@gc - Ultimate Thread Group 1-34,text,true,,26853,301,50,50,http://localhost/mantisbt-2.24.2/view.php?id=1,240,0,0
1608485930729,3043,Get issue,200,OK,jp@gc - Ultimate Thread Group 1-16,text,true,,27513,703,50,50,http://localhost/mantisbt-2.24.2/view.php?id=1,2826,0,0
1608485930729,2826,Get issue-0,302,Found,jp@gc - Ultimate Thread Group 1-16,text,true,,660,402,50,50,http://localhost/mantisbt-2.24.2/jump_to_bug.php,2826,0,0
1608485933555,217,Get issue-1,200,OK,jp@gc - Ultimate Thread Group 1-16,text,true,,26853,301,50,50,http://localhost/mantisbt-2.24.2/view.php?id=1,216,0,0
1608485930530,3266,Get issue,200,OK,jp@gc - Ultimate Thread Group 1-9,text,true,,27513,703,50,50,http://localhost/mantisbt-2.24.2/view.php?id=1,2998,0,0
1608485930530,2998,Get issue-0,302,Found,jp@gc - Ultimate Thread Group 1-9,text,true,,660,402,50,50,http://localhost/mantisbt-2.24.2/jump_to_bug.php,2998,0,0
1608485933528,268,Get issue-1,200,OK,jp@gc - Ultimate Thread Group 1-9,text,true,,26853,301,50,50,http://localhost/mantisbt-2.24.2/view.php?id=1,267,0,0
1608485930929,2944,Get issue,200,OK,jp@gc - Ultimate Thread Group 1-46,text,true,,27513,703,50,50,http://localhost/mantisbt-2.24.2/view.php?id=1,2704,0,0
